name,description,position,attributes
Tackling drills,Closing|n|Jockeying|n|Anticipating|n|Turning,midfielder,"['Tackle success %', '']"
Penned in,"Make a square, and put three or four players inside it.|n|Stand on one of the corners, and pass the ball into a random player. If they can keep possession of the ball inside the square for five seconds before successfully passing it back to you, they score a point. If they are tackled, another player has to try and achieve the same outcome.",midfielder,"['Duels', '']"
Plyometrics,Squat jumps|n|Reverse lunge knee-ups|n|Burpees|n|Pogo Jumps|n|Depth Jumps,midfielder,"['Aerial battles', '']"
Tackling drills,Closing|n|Jockeying|n|Anticipating|n|Turning,defender,"['Tackle success %', '']"
Reaction Heading,This drill simulates game-like situations where you have to react quickly to clear the ball.,defender,"['Headed Clearance', '']"
Intercepting or Clearing the Ball,Remove restrictions on the attacker's movement. The attacker can now look to receive the ball by moving towards the server and then turn to dribble over the end line.The defender must be able to react to forward movement from the attacker to stay close enough to intercept.,defender,"['Clearance', '']"
Penned in,"Make a square, and put three or four players inside it.Stand on one of the corners, and pass the ball into a random player. If they can keep possession of the ball inside the square for five seconds before successfully passing it back to you, they score a point. If they are tackled, another player has to try and achieve the same outcome.",defender,"['Duels', '']"
Plyometrics,Squat jumps|n|Reverse lunge knee-ups|n|Burpees|n|Pogo Jumps|n|Depth Jumps,defender,"['Aerial Battles', '']"
Cross & Finish Competition,Two teams compete to score the most goals in a round. Each team alternates crosses from opposite sides of the field while two players enter the penalty area and attempt to score on goal.,defender,"['Cross accuracy %', '']"
Passing drills,"Players partner up and each player works inside their own separate small square of four cones. With one ball, partners exchange passes to each other while staying in their own square. Players must receive and pass the ball within their square. Every time a player�s first touch goes outside of the square, their partner receives one point.",defender,"['Passes per match', '']"
